legal_name,lei,uid_ch,domicile_country,hq_city,hq_region,geneva_link,source_key,retrieved_at
NatWest Group,,,,,,,index_universe,2026-07-07T20:39:37Z
National Australia Bank,,,,,,,index_universe,2026-07-07T20:39:42Z
National Bank of Canada,,,,,,,index_universe,2026-07-07T20:39:33Z
National Grid plc,,,GB,,,,index_universe,2026-07-07T20:39:37Z
NetApp,,,,,,,index_universe,2026-07-07T20:39:30Z
NetEase,,,,,,,index_universe,2026-07-07T20:39:40Z
Netflix,,,,,,,index_universe,2026-07-07T20:39:30Z
Newmont,,,,,,,index_universe,2026-07-07T20:39:42Z
News Corp,,,,,,,index_universe,2026-07-07T20:39:42Z
News Corp (Class A),,,,,,,index_universe,2026-07-07T20:39:30Z
News Corp (Class B),,,,,,,index_universe,2026-07-07T20:39:30Z
"Nexon Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Next plc,,,GB,,,,index_universe,2026-07-07T20:39:37Z
NextEra Energy,,,,,,,index_universe,2026-07-07T20:39:30Z
NiSource,,,,,,,index_universe,2026-07-07T20:39:30Z
Nichirei Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Nidec,,,,,,,index_universe,2026-07-07T20:39:39Z
"Nike, Inc.",,,,,,,index_universe,2026-07-07T20:39:30Z
Nikon Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Nintendo Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Nippon Electric Glass Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Nippon Express Holdings Inc.,,,,,,,index_universe,2026-07-07T20:39:39Z
Nippon Steel Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Nippon Telegraph & Telephone Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Nippon Yusen K.K.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Nissan Chemical Industries, Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Nissan Motor Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Nisshin Seifun Group Inc.,,,,,,,index_universe,2026-07-07T20:39:39Z
Nissui Corporation,,,,,,,index_universe,2026-07-07T20:39:39Z
"Nitori Holdings Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Nitto Denko,,,,,,,index_universe,2026-07-07T20:39:39Z
"Nomura Holdings, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
Nomura Research Institute Ltd.,,,,,,,index_universe,2026-07-07T20:39:39Z
Nongfu Spring,,,,,,,index_universe,2026-07-07T20:39:40Z
Nordea,,,Finland,,,,index_universe,2026-07-07T20:39:38Z
Nordson Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Norfolk Southern,,,,,,,index_universe,2026-07-07T20:39:30Z
Northern Star Resources,,,,,,,index_universe,2026-07-07T20:39:42Z
Northern Trust,,,,,,,index_universe,2026-07-07T20:39:30Z
Northrop Grumman,,,,,,,index_universe,2026-07-07T20:39:30Z
Norwegian Cruise Line Holdings,,,,,,,index_universe,2026-07-07T20:39:30Z
Novavest Real Estate AG,50670091T3297YN83C32,CHE287294566,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:21Z
Nucor,,,,,,,index_universe,2026-07-07T20:39:30Z
Nutrien Ltd.,,,,,,,index_universe,2026-07-07T20:39:33Z
Nvidia,,,,,,,index_universe,2026-07-07T20:39:30Z
"OC Oerlikon Corporation AG, Pfäffikon",529900I8VLAZR2FJ0M10,CHE103488578,CH,Pfäffikon SZ,CH-SZ,none,gleif,2026-07-19T02:41:05Z
ON Semiconductor,,,,,,,index_universe,2026-07-07T20:39:30Z
Obayashi Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Occidental Petroleum,,,,,,,index_universe,2026-07-07T20:39:30Z
"Odakyu Electric Railway Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Oji Holdings Corporation,,,,,,,index_universe,2026-07-07T20:39:39Z
"Okuma Holdings, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
Old Dominion,,,,,,,index_universe,2026-07-07T20:39:30Z
Olympus Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Omnicom Group,,,,,,,index_universe,2026-07-07T20:39:30Z
Omron Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Oneok,,,,,,,index_universe,2026-07-07T20:39:30Z
Open Text Corporation,,,,,,,index_universe,2026-07-07T20:39:33Z
Oracle Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Orange,,,,,,,index_universe,2026-07-07T20:39:36Z
Orell Füssli AG,5067005U9Z97T4PWVC13,CHE105838494,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:06Z
Orient Overseas (International) Limited,,,HK,,,,index_universe,2026-07-07T20:39:40Z
"Oriental Land Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Origin Energy,,,,,,,index_universe,2026-07-07T20:39:42Z
Orior AG,50670020I84ZA17K9522,CHE113034902,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:19Z
Orix Co.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Osaka Gas Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Otis Worldwide,,,,,,,index_universe,2026-07-07T20:39:30Z
"Otsuka Holdings Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
O’Reilly Automotive,,,,,,,index_universe,2026-07-07T20:39:30Z
PG&E Corporation,,,US,,,,index_universe,2026-07-07T20:39:30Z
PLAZZA AG,50670040KK2FWN321957,CHE450491665,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:23Z
PNC Financial Services,,,,,,,index_universe,2026-07-07T20:39:30Z
PPG Industries,,,,,,,index_universe,2026-07-07T20:39:30Z
PPL Corporation,,,US,,,,index_universe,2026-07-07T20:39:30Z
PSP Swiss Property AG,50670042Y437P8X44F56,CHE101126621,CH,Zug,CH-ZG,none,gleif,2026-07-19T02:41:13Z
PTC Inc.,,,,,,,index_universe,2026-07-07T20:39:30Z
Paccar,,,,,,,index_universe,2026-07-07T20:39:30Z
Packaging Corporation of America,,,,,,,index_universe,2026-07-07T20:39:30Z
Palantir Technologies,,,,,,,index_universe,2026-07-07T20:39:30Z
Palo Alto Networks,,,,,,,index_universe,2026-07-07T20:39:30Z
Pan Pacific International Holdings Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Panasonic Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Paramount Skydance Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Parker Hannifin,,,,,,,index_universe,2026-07-07T20:39:30Z
Partners Group Holding AG,549300I3IVVWZWDHI788,CHE-108.562.489,CH,Baar,CH-ZG,none,gleif,2026-07-19T02:41:14Z
PayPal,,,,,,,index_universe,2026-07-07T20:39:30Z
Paychex,,,,,,,index_universe,2026-07-07T20:39:30Z
Peach Property Group AG,506700A49L5C69NZ5J96,CHE-101.066.456,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:19Z
Pearson plc,,,GB,,,,index_universe,2026-07-07T20:39:37Z
Pembina Pipeline Corporation,,,,,,,index_universe,2026-07-07T20:39:33Z
Pentair,,,,,,,index_universe,2026-07-07T20:39:30Z
PepsiCo,,,,,,,index_universe,2026-07-07T20:39:30Z
"PepsiCo, Inc.",FJSUNZKFNQ5YPJ5OT455,0198463,US,Harrison,US-NY,none,gleif,2026-07-19T02:41:34Z
Pernod Ricard,,,FR,,,,index_universe,2026-07-07T20:39:36Z
Pershing Square Holdings,,,,,,,index_universe,2026-07-07T20:39:37Z
Persimmon,,,,,,,index_universe,2026-07-07T20:39:37Z
PetroChina Company Limited,,,,,,,index_universe,2026-07-07T20:39:40Z
Pfizer,,,,,,,index_universe,2026-07-07T20:39:30Z
Philip Morris International,,,,,,,index_universe,2026-07-07T20:39:30Z
Philip Morris International Inc.,HL3H1H2BGXWVG3BSWR90,06702815,US,Stamford,US-CT,none,gleif,2026-07-19T02:41:34Z
Phillips 66,,,US,,,,index_universe,2026-07-07T20:39:30Z
Phoenix Mecano AG,529900SWF06EKVI1JY11,CHE-102.645.326,CH,Stein am Rhein,CH-SH,none,gleif,2026-07-19T02:41:29Z
Ping An Insurance,,,,,,,index_universe,2026-07-07T20:39:40Z
Pinnacle West Capital,,,,,,,index_universe,2026-07-07T20:39:30Z
Polar Capital Technology Trust,,,,,,,index_universe,2026-07-07T20:39:37Z
PolyPeptide Group AG,5067007JCKTPOX4G9758,CHE159266771,CH,Baar,CH-ZG,none,gleif,2026-07-19T02:41:28Z
Pop Mart,,,,,,,index_universe,2026-07-07T20:39:40Z
Porsche SE,,,,,,,index_universe,2026-07-07T20:39:34Z
Power Assets Holdings Limited,,,HK,,,,index_universe,2026-07-07T20:39:40Z
Power Corporation of Canada,,,CA,,,,index_universe,2026-07-07T20:39:33Z
Principal Financial Group,,,,,,,index_universe,2026-07-07T20:39:30Z
Private Equity Holding AG,391200H19VBZIPBJ0N98,CHE104406927,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:08Z
Pro Medicus,,,,,,,index_universe,2026-07-07T20:39:42Z
Procter & Gamble,,,,,,,index_universe,2026-07-07T20:39:30Z
Progressive Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Prologis,,,,,,,index_universe,2026-07-07T20:39:30Z
Prosus,,,Netherlands,,,,index_universe,2026-07-07T20:39:38Z
Prudential Financial,,,,,,,index_universe,2026-07-07T20:39:30Z
Prudential plc,,,,,,,index_universe,2026-07-07T20:39:37Z
Public Service Enterprise Group,,,,,,,index_universe,2026-07-07T20:39:30Z
Public Storage,,,,,,,index_universe,2026-07-07T20:39:30Z
Publicis,,,,,,,index_universe,2026-07-07T20:39:36Z
PulteGroup,,,,,,,index_universe,2026-07-07T20:39:30Z
QBE Insurance,,,,,,,index_universe,2026-07-07T20:39:42Z
Qantas,,,,,,,index_universe,2026-07-07T20:39:42Z
Qiagen,,,,,,,index_universe,2026-07-07T20:39:34Z
Qnity Electronics,,,,,,,index_universe,2026-07-07T20:39:30Z
Qualcomm,,,,,,,index_universe,2026-07-07T20:39:30Z
Quanta Services,,,,,,,index_universe,2026-07-07T20:39:30Z
Quest Diagnostics,,,,,,,index_universe,2026-07-07T20:39:30Z
R&S Group Holding AG,549300BKHOM0Y2GJZJ41,CHE499708558,CH,Pfäffikon SZ,CH-SZ,none,gleif,2026-07-19T02:41:28Z
REA Group,,,,,,,index_universe,2026-07-07T20:39:42Z
RELX,,,,,,,index_universe,2026-07-07T20:39:37Z
RTX Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
RWE,,,,,,,index_universe,2026-07-07T20:39:34Z
Rakuten Inc.,,,,,,,index_universe,2026-07-07T20:39:39Z
Ralph Lauren Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Raymond James Financial,,,,,,,index_universe,2026-07-07T20:39:30Z
Realty Income,,,,,,,index_universe,2026-07-07T20:39:30Z
Reckitt,,,,,,,index_universe,2026-07-07T20:39:37Z
"Recruit Holdings Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Regency Centers,,,,,,,index_universe,2026-07-07T20:39:30Z
Regeneron Pharmaceuticals,,,,,,,index_universe,2026-07-07T20:39:30Z
Regions Financial Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Renault,,,,,,,index_universe,2026-07-07T20:39:36Z
Renesas Electronics,,,,,,,index_universe,2026-07-07T20:39:39Z
Rentokil Initial,,,,,,,index_universe,2026-07-07T20:39:37Z
Republic Services,,,,,,,index_universe,2026-07-07T20:39:30Z
ResMed,,,,,,,index_universe,2026-07-07T20:39:42Z
"Resona Holdings, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
Resonac Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Restaurant Brands International Inc.,,,,,,,index_universe,2026-07-07T20:39:33Z
Revvity,,,,,,,index_universe,2026-07-07T20:39:30Z
Rheinmetall,,,Germany,,,,index_universe,2026-07-07T20:39:38Z
"Ricoh Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Rieter Holding AG,529900SNR4JQCSACBN29,CHE100672789,CH,Winterthur,CH-ZH,none,gleif,2026-07-19T02:41:06Z
Rio Tinto,,,,,,,index_universe,2026-07-07T20:39:42Z
Robinhood Markets,,,,,,,index_universe,2026-07-07T20:39:30Z
Roche Holding AG,549300U41AUUVOAAOB37,CHE101602521,CH,Basel,CH-BS,none,gleif,2026-07-19T02:41:32Z
Rockwell Automation,,,,,,,index_universe,2026-07-07T20:39:30Z
Rogers Communications Inc.,,,,,,,index_universe,2026-07-07T20:39:33Z
"Rohm Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Rollins, Inc.",,,,,,,index_universe,2026-07-07T20:39:30Z
Rolls-Royce Holdings,,,,,,,index_universe,2026-07-07T20:39:37Z
Romande Energie Holding SA,9676008XQ71KDFYUC315,CHE-100.913.036,CH,Morges,CH-VD,none,gleif,2026-07-19T02:41:29Z
Roper Technologies,,,,,,,index_universe,2026-07-07T20:39:30Z
Ross Stores,,,,,,,index_universe,2026-07-07T20:39:30Z
Royal Bank of Canada,,,,,,,index_universe,2026-07-07T20:39:33Z
Royal Caribbean Group,,,,,,,index_universe,2026-07-07T20:39:30Z
S&P Global,,,,,,,index_universe,2026-07-07T20:39:30Z
SANTHERA PHARMACEUTICALS HOLDING AG,54930035HAOFTTQH0U85,CHE-105.388.338,CH,PRATTELN,CH-BL,none,gleif,2026-07-19T02:41:31Z
SAP,,,Germany,,,,index_universe,2026-07-07T20:39:38Z
SBA Communications,,,,,,,index_universe,2026-07-07T20:39:30Z
SCREEN Holdings,,,,,,,index_universe,2026-07-07T20:39:39Z
SF URBAN PROPERTIES AG,2138009LVDKNZ3WF7R21,CHE-109.373.270,CH,ZURICH,CH-AG,none,gleif,2026-07-19T02:41:17Z
SFS Group AG,391200RQ38WAM4BJBO16,CHE103670002,CH,Heerbrugg,CH-SG,none,gleif,2026-07-19T02:41:21Z
SGS SA,2138007JNS19JHNA2336,CHE-105.923.438,CH,BAAR,CH-ZG,none,gleif,2026-07-19T02:41:29Z
SHIFT Inc.,,,,,,,index_universe,2026-07-07T20:39:39Z
SIG GROUP AG,5493004Z6P7TSVB1L042,CHE-173.759.908,CH,Neuhausen am Rheinfall,CH-SH,none,gleif,2026-07-19T02:41:25Z
SKAN Group AG,506700N25H370ZSEFR11,CHE109404396,CH,Allschwil,CH-BL,none,gleif,2026-07-19T02:41:13Z
SMC Corporation,,,,,,,index_universe,2026-07-07T20:39:39Z
SMG Swiss Marketplace Group Holding AG,506700N2391DVRZ4MZ72,CHE288041890,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:32Z
SSE plc,,,GB,,,,index_universe,2026-07-07T20:39:37Z
STMicroelectronics,,,,,,,index_universe,2026-07-07T20:39:36Z
SUMCO Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
SUNRISE COMMUNICATIONS AG,213800RS9HRGTWOGCO08,CHE-150.756.750,CH,GLATTPARK (OPFIKON),CH-ZH,none,gleif,2026-07-19T02:41:31Z
SWISS RE AG,529900PS9YW3YY29F326,CHE-191.546.434,CH,ZURICH,CH-ZH,none,gleif,2026-07-19T02:41:20Z
SWISSQUOTE GROUP HOLDING SA,549300O3WME82RDPEN66,CHE-101.092.873,CH,GLAND,CH-VD,none,gleif,2026-07-19T02:41:32Z
Safran,,,France,,,,index_universe,2026-07-07T20:39:38Z
Sage Group,,,,,,,index_universe,2026-07-07T20:39:37Z
Sainsbury's,,,,,,,index_universe,2026-07-07T20:39:37Z
Saint-Gobain,,,France,,,,index_universe,2026-07-07T20:39:38Z
Salesforce,,,,,,,index_universe,2026-07-07T20:39:30Z
Sandisk,,,,,,,index_universe,2026-07-07T20:39:30Z
Sandoz Group AG,5493000JWK6XWFEUD320,CHE433164136,CH,Rotkreuz,CH-ZG,none,gleif,2026-07-19T02:41:29Z
Sands China,,,,,,,index_universe,2026-07-07T20:39:40Z
Sanofi,,,France,,,,index_universe,2026-07-07T20:39:38Z
Santos,,,,,,,index_universe,2026-07-07T20:39:42Z
Sapporo Holdings Ltd.,,,,,,,index_universe,2026-07-07T20:39:39Z
Saputo Inc.,,,,,,,index_universe,2026-07-07T20:39:33Z
Scentre Group,,,,,,,index_universe,2026-07-07T20:39:42Z
Schindler Holding AG,5299007DRLI319H7Q933,CHE-101.862.654,CH,Hergiswil NW,CH-NW,none,gleif,2026-07-19T02:41:16Z
Schlumberger,,,,,,,index_universe,2026-07-07T20:39:30Z
Schneider Electric,,,France,,,,index_universe,2026-07-07T20:39:38Z
Schroders,,,,,,,index_universe,2026-07-07T20:39:37Z
Schweiter Technologies AG,894500D6OYCP8P8P7317,CHE100042878,CH,Steinhausen,CH-ZG,none,gleif,2026-07-19T02:41:29Z
Schweizerische Nationalbank,LKAJX4ZOK2R6D9THVO59,CHE105944570,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:05Z
Scottish Mortgage Investment Trust,,,,,,,index_universe,2026-07-07T20:39:37Z
Scout24,,,,,,,index_universe,2026-07-07T20:39:34Z
Seagate Technology,,,US,,,,index_universe,2026-07-07T20:39:30Z
"Secom Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Segro,,,,,,,index_universe,2026-07-07T20:39:37Z
Seiko Epson Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Sekisui House, Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Semiconductor Manufacturing International Corporation,,,HK,,,,index_universe,2026-07-07T20:39:40Z
Sempra,,,,,,,index_universe,2026-07-07T20:39:30Z
Sensirion Holding AG,894500ANJ9YNE8YCTT04,CHE104836469,CH,Stäfa,CH-ZH,none,gleif,2026-07-19T02:41:25Z
ServiceNow,,,,,,,index_universe,2026-07-07T20:39:30Z
"Seven & I Holdings Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Seven Group Holdings,,,,,,,index_universe,2026-07-07T20:39:42Z
Severn Trent,,,,,,,index_universe,2026-07-07T20:39:37Z
Sharp Corporation,,,,,,,index_universe,2026-07-07T20:39:39Z
Shell plc,,,GB,,,,index_universe,2026-07-07T20:39:37Z
Shenzhou International,,,,,,,index_universe,2026-07-07T20:39:40Z
Sherwin-Williams,,,,,,,index_universe,2026-07-07T20:39:30Z
Shimizu Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Shin-Etsu Chemical Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Shionogi & Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Shiseido Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Shizuoka Financial Group,,,,,,,index_universe,2026-07-07T20:39:39Z
Shopify Inc.,,,,,,,index_universe,2026-07-07T20:39:33Z
Siegfried Holding AG,506700J9QD6IF3937W06,CHE102443567,CH,Zofingen,CH-AG,none,gleif,2026-07-19T02:41:31Z
Siemens,,,Germany,,,,index_universe,2026-07-07T20:39:38Z
Siemens Energy,,,Germany,,,,index_universe,2026-07-07T20:39:38Z
Siemens Healthineers,,,,,,,index_universe,2026-07-07T20:39:34Z
Sigma Healthcare,,,,,,,index_universe,2026-07-07T20:39:42Z
Sika AG,549300R3N69ECGYPU434,CHE106919184,CH,Baar,CH-ZG,none,gleif,2026-07-19T02:41:25Z
Simon Property Group,,,,,,,index_universe,2026-07-07T20:39:30Z
Sino Biopharm,,,,,,,index_universe,2026-07-07T20:39:40Z
Sinopec Corp,,,,,,,index_universe,2026-07-07T20:39:40Z
Sinopharm Group,,,,,,,index_universe,2026-07-07T20:39:40Z
Skyworks Solutions,,,,,,,index_universe,2026-07-07T20:39:30Z
Smith & Nephew,,,,,,,index_universe,2026-07-07T20:39:37Z
Smiths Group,,,,,,,index_universe,2026-07-07T20:39:37Z
Smurfit Westrock,,,,,,,index_universe,2026-07-07T20:39:30Z
Snap-on,,,,,,,index_universe,2026-07-07T20:39:30Z
Socionext Inc.,,,,,,,index_universe,2026-07-07T20:39:39Z
Société Générale,,,,,,,index_universe,2026-07-07T20:39:36Z
SoftBank Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
SoftBank Group Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
SoftwareOne Holding AG,529900GBI88JKWXLGI05,CHE-384.378.612,CH,Stans,CH-NW,none,gleif,2026-07-19T02:41:27Z
Sojitz Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Solventum,,,,,,,index_universe,2026-07-07T20:39:30Z
"Sompo Holdings, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
Sonova Holding AG,5299004A0QNX7FBNHS61,CHE100818478,CH,Stäfa,CH-ZH,none,gleif,2026-07-19T02:41:12Z
Sony Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Soul Patts,,,,,,,index_universe,2026-07-07T20:39:42Z
South32,,,,,,,index_universe,2026-07-07T20:39:42Z
Southern Company,,,US,,,,index_universe,2026-07-07T20:39:30Z
Southwest Airlines,,,,,,,index_universe,2026-07-07T20:39:30Z
Spirax Group,,,,,,,index_universe,2026-07-07T20:39:37Z
St. James's Place,,,,,,,index_universe,2026-07-07T20:39:37Z
St.Galler Kantonalbank AG,549300GFRG6OK00RG957,CHE105845146,CH,St. Gallen,CH-SG,none,gleif,2026-07-19T02:41:10Z
Stadler Rail AG,506700781XDET0A89669,CHE101581089,CH,Bussnang,CH-TG,none,gleif,2026-07-19T02:41:05Z
Standard Chartered,,,,,,,index_universe,2026-07-07T20:39:37Z
Standard Life,,,,,,,index_universe,2026-07-07T20:39:37Z
Stanley Black & Decker,,,,,,,index_universe,2026-07-07T20:39:30Z
Starbucks,,,,,,,index_universe,2026-07-07T20:39:30Z
StarragTornos Group AG,506700HT4CY9HM064662,CHE100022315,CH,Rorschacherberg,CH-SG,none,gleif,2026-07-19T02:41:05Z
State Street Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Steel Dynamics,,,,,,,index_universe,2026-07-07T20:39:30Z
Stellantis,,,,,,,index_universe,2026-07-07T20:39:36Z
Steris,,,,,,,index_universe,2026-07-07T20:39:30Z
Stockland,,,,,,,index_universe,2026-07-07T20:39:42Z
Straumann Holding AG,50670046ML5FVIM60Z37,CHE101673828,CH,Basel,CH-BS,none,gleif,2026-07-19T02:41:28Z
Stryker Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Subaru Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Sulzer AG,529900NZ6MAST5IJF669,CHE-102.210.767,CH,Winterthur,CH-ZH,none,gleif,2026-07-19T02:41:17Z
"Sumitomo Chemical Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Sumitomo Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Sumitomo Dainippon Pharma Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Sumitomo Electric Industries, Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Sumitomo Heavy Industries, Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Sumitomo Metal Mining Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Sumitomo Mitsui Financial Group, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Sumitomo Mitsui Trust Holdings, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Sumitomo Realty & Development Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Sun Hung Kai Properties Limited,,,HK,,,,index_universe,2026-07-07T20:39:40Z
Sun Life Financial Inc.,,,CA,,,,index_universe,2026-07-07T20:39:33Z
Suncor Energy Inc.,,,,,,,index_universe,2026-07-07T20:39:33Z
Suncorp,,,,,,,index_universe,2026-07-07T20:39:42Z
Sunny Optical,,,,,,,index_universe,2026-07-07T20:39:40Z
Supermicro,,,,,,,index_universe,2026-07-07T20:39:30Z
Suzuki Motor Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Swiss Life Holding AG,5493000KUC3Z24U77V93,CHE-109.910.989,CH,Zurich,CH-ZH,none,gleif,2026-07-19T02:41:13Z
Swiss Prime Site AG,506700XI9H64OPR34158,CHE-101.080.841,CH,Zug,,unresolved,gleif,2026-07-19T02:41:08Z
Swisscom AG,5493005SL9HHOXS3B739,CHE102753938,CH,Bern,CH-BE,none,gleif,2026-07-19T02:41:08Z
Symrise,,,,,,,index_universe,2026-07-07T20:39:34Z
Synchrony Financial,,,,,,,index_universe,2026-07-07T20:39:30Z
Synopsys,,,,,,,index_universe,2026-07-07T20:39:30Z
Sysco,,,,,,,index_universe,2026-07-07T20:39:30Z
"T&D Holdings, Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
T-Mobile US,,,,,,,index_universe,2026-07-07T20:39:30Z
T. Rowe Price,,,,,,,index_universe,2026-07-07T20:39:30Z
TC Energy Corporation,,,,,,,index_universe,2026-07-07T20:39:33Z
TDK Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
TE Connectivity,,,,,,,index_universe,2026-07-07T20:39:30Z
TEMENOS AG,5067007NW6550481FH64,CHE109066419,CH,Grand-Lancy,CH-GE,domicile,gleif,2026-07-19T02:41:12Z
TJX Companies,,,,,,,index_universe,2026-07-07T20:39:30Z
TKO Group Holdings,,,,,,,index_universe,2026-07-07T20:39:30Z
TX Group AG,506700302V28Y6O14985,CHE105836696,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:10Z
Taiheiyo Cement Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Taisei Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
"Taiyo Yuden Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"Takashimaya Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
Take-Two Interactive,,,,,,,index_universe,2026-07-07T20:39:30Z
Takeda Pharmaceutical Company Limited,,,,,,,index_universe,2026-07-07T20:39:39Z
"Tapestry, Inc.",,,,,,,index_universe,2026-07-07T20:39:30Z
Targa Resources,,,,,,,index_universe,2026-07-07T20:39:30Z
Target Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Tecan Group AG,529900CSN9R3BLETSL26,CHE-107.957.514,CH,Männedorf,CH-ZH,none,gleif,2026-07-19T02:41:10Z
Techtronic Industries,,,,,,,index_universe,2026-07-07T20:39:40Z
Teck Resources Limited,,,,,,,index_universe,2026-07-07T20:39:33Z
Teijin Ltd.,,,,,,,index_universe,2026-07-07T20:39:39Z
Teledyne Technologies,,,,,,,index_universe,2026-07-07T20:39:30Z
Teleperformance,,,,,,,index_universe,2026-07-07T20:39:36Z
Telstra,,,,,,,index_universe,2026-07-07T20:39:42Z
Telus Corporation,,,,,,,index_universe,2026-07-07T20:39:33Z
Tencent Holdings Limited,,,HK,,,,index_universe,2026-07-07T20:39:40Z
Teradyne,,,,,,,index_universe,2026-07-07T20:39:30Z
Terumo Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Tesco,,,,,,,index_universe,2026-07-07T20:39:37Z
"Tesla, Inc.",,,,,,,index_universe,2026-07-07T20:39:30Z
Texas Instruments,,,,,,,index_universe,2026-07-07T20:39:30Z
Texas Pacific Land Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Textron,,,,,,,index_universe,2026-07-07T20:39:30Z
Thales,,,,,,,index_universe,2026-07-07T20:39:36Z
"The Chiba Bank, Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"The Furukawa Electric Co., Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"The Japan Steel Works, Ltd.",,,,,,,index_universe,2026-07-07T20:39:39Z
"The Kansai Electric Power Co., Inc.",,,,,,,index_universe,2026-07-07T20:39:39Z
