legal_name,lei,uid_ch,domicile_country,hq_city,hq_region,geneva_link,source_key,retrieved_at
Howdens Joinery,,,,,,,index_universe,2026-07-07T20:39:37Z
Howmet Aerospace,,,,,,,index_universe,2026-07-07T20:39:30Z
Hoya Corporation,,,,,,,index_universe,2026-07-07T20:39:39Z
Hubbell Incorporated,,,,,,,index_universe,2026-07-07T20:39:30Z
Huber+Suhner AG,5067007PRZ9OSX7A6787,CHE105815317,CH,Herisau,CH-AR,none,gleif,2026-07-19T02:41:17Z
Humana,,,,,,,index_universe,2026-07-07T20:39:30Z
Huntington Bancshares,,,,,,,index_universe,2026-07-07T20:39:30Z
Huntington Ingalls Industries,,,,,,,index_universe,2026-07-07T20:39:30Z
Hydro One Limited,,,CA,,,,index_universe,2026-07-07T20:39:33Z
Hypothekarbank Lenzburg AG,529900K3915OW75BQR33,CHE105779532,CH,Lenzburg,CH-AG,none,gleif,2026-07-19T02:41:05Z
IBM,,,,,,,index_universe,2026-07-07T20:39:30Z
ICG,,,,,,,index_universe,2026-07-07T20:39:37Z
IDEX Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
IG Group,,,,,,,index_universe,2026-07-07T20:39:37Z
IHG Hotels & Resorts,,,,,,,index_universe,2026-07-07T20:39:37Z
IHI Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
IMI,,,,,,,index_universe,2026-07-07T20:39:37Z
INFICON HOLDING AG,5067008UT6890I0YM937,CHE101283338,CH,Bad Ragaz,CH-SG,none,gleif,2026-07-19T02:41:32Z
ING Group,,,Netherlands,,,,index_universe,2026-07-07T20:39:38Z
INTERROLL HOLDING AG,529900MU4QAEI94TB543,CHE-102.123.424,CH,S. Antonino,CH-TI,none,gleif,2026-07-19T02:41:08Z
IQVIA,,,,,,,index_universe,2026-07-07T20:39:30Z
Iberdrola,,,Spain,,,,index_universe,2026-07-07T20:39:38Z
"Idemitsu Kosan Co., Ltd",,,,,,,index_universe,2026-07-07T20:39:39Z
Idexx Laboratories,,,,,,,index_universe,2026-07-07T20:39:30Z
Idorsia Ltd,506700XOVZUB107S5720,CHE340129854,CH,Allschwil,CH-BL,none,gleif,2026-07-19T02:41:24Z
Illinois Tool Works,,,,,,,index_universe,2026-07-07T20:39:30Z
Imperial Brands,,,,,,,index_universe,2026-07-07T20:39:37Z
Imperial Oil Limited,,,,,,,index_universe,2026-07-07T20:39:33Z
Implenia AG,52990006TKCUQQJ79B11,CHE-112.626.997,CH,Glattpark (Opfikon),CH-ZH,none,gleif,2026-07-19T02:41:14Z
Incyte,,,,,,,index_universe,2026-07-07T20:39:30Z
Inditex,,,Spain,,,,index_universe,2026-07-07T20:39:38Z
Industrial and Commercial Bank of China,,,,,,,index_universe,2026-07-07T20:39:40Z
Infineon Technologies,,,Germany,,,,index_universe,2026-07-07T20:39:38Z
Informa,,,,,,,index_universe,2026-07-07T20:39:37Z
Ingersoll Rand,,,,,,,index_universe,2026-07-07T20:39:30Z
Inpex Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
Insulet Corporation,,,,,,,index_universe,2026-07-07T20:39:30Z
Insurance Australia Group,,,,,,,index_universe,2026-07-07T20:39:42Z
Intact Financial Corporation,,,CA,,,,index_universe,2026-07-07T20:39:33Z
Intel,,,,,,,index_universe,2026-07-07T20:39:30Z
Interactive Brokers,,,,,,,index_universe,2026-07-07T20:39:30Z
Intercontinental Exchange,,,US,,,,index_universe,2026-07-07T20:39:30Z
International Airlines Group,,,,,,,index_universe,2026-07-07T20:39:37Z
International Flavors & Fragrances,,,,,,,index_universe,2026-07-07T20:39:30Z
International Paper,,,,,,,index_universe,2026-07-07T20:39:30Z
Intershop Holding AG,506700CGX4K77JX3R725,CHE103878436,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:31Z
Intertek,,,,,,,index_universe,2026-07-07T20:39:37Z
Intesa Sanpaolo,,,Italy,,,,index_universe,2026-07-07T20:39:38Z
Intuit,,,,,,,index_universe,2026-07-07T20:39:30Z
Intuitive Surgical,,,,,,,index_universe,2026-07-07T20:39:30Z
Invesco,,,,,,,index_universe,2026-07-07T20:39:30Z
Investec,,,,,,,index_universe,2026-07-07T20:39:37Z
Investis Holding SA,506700GG126O0G9S5W59,CHE137077813,CH,Zürich,CH-ZH,none,gleif,2026-07-19T02:41:24Z
Invitation Homes,,,,,,,index_universe,2026-07-07T20:39:30Z
Iron Mountain,,,,,,,index_universe,2026-07-07T20:39:30Z
Isetan Mitsukoshi Holdings Ltd.,,,,,,,index_universe,2026-07-07T20:39:39Z
Isuzu Motors Ltd.,,,,,,,index_universe,2026-07-07T20:39:39Z
Itochu Corp.,,,,,,,index_universe,2026-07-07T20:39:39Z
